MaterialID,MaterialName,StrengthRating,WeightCapacity_KG,BiodegradabilityScore,BiodegradationTime_Months,CO2_Emissions_KG_Per_Ton,RecyclabilityPercentage,CostPerKG_USD,Durability_Months,ChemicalResistance,MoistureBarrier,OxygenBarrier,SupplierAvailability,CompatibleProducts,ScaleRating,InnovationLevel,RegulationCompliance,co2_impact_index,cost_efficiency_index,sustainability_score,protection_score,business_score,eco_fit_score,MaterialType_Algae-Based,MaterialType_Bio-Coated Paper,MaterialType_Bioplastic,MaterialType_Bioplastic Composite,MaterialType_Coated Paper,MaterialType_Glass,MaterialType_Metal,MaterialType_Mycelium-Based,MaterialType_Nano-Material,MaterialType_Natural Cork,MaterialType_Natural Fiber,MaterialType_Paper,MaterialType_Paper Pulp,MaterialType_Paper Structure,MaterialType_Paper/Cardboard,MaterialType_Paper/Cardboard Composite,MaterialType_Paper/Metal Laminate,MaterialType_Plant-Based,MaterialType_Plant-Based Composite,MaterialType_Plant-Fiber,MaterialType_Plastic,MaterialType_Protein-Based,MaterialType_Recycled Fiber Composite,MaterialType_Seaweed-Based,MaterialType_Smart Packaging Film,MaterialType_Starch-Based,MaterialType_Water-Soluble Polymer,CompostableStatus_Home/Industrial,CompostableStatus_Industrial,CompostableStatus_No
1.0,Recycled Cardboard (rCardboard),0.75,0.4142259414225941,0.9042553191489361,0.0022921441967076474,0.13924050632911392,0.8673469387755102,0.017699115044247794,0.1864406779661017,0.6666666666666665,0.7777777777777777,0.6666666666666665,High,"General, Electronics, Food, Cosmetics",1.0,0.125,"EU, FDA",0.8607594936708861,0.9823008849557522,0.9872427793669833,0.7222222222222222,0.7066666666666664,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,Biodegradable PLA (Polylactic Acid),0.5,0.12133891213389121,0.9893617021276596,0.004792665138570535,0.4303797468354431,0.1530612244897959,0.1504424778761062,0.08474576271186442,0.4444444444444445,0.5555555555555556,0.6666666666666665,Medium,"Food, Beverages, Cosmetics",0.6666666666666665,0.75,"EU, FDA, BPI",0.5696202531645569,0.8495575221238939,0.5036679892959304,0.5333333333333333,1.0,0.7072647591251486,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,PHA (Polyhydroxyalkanoates),0.625,0.1631799163179916,0.9999999999999999,0.0031256511773286103,0.20253164556962025,0.25510204081632654,0.25663716814159293,0.13559322033898305,0.5555555555555556,0.6666666666666665,0.7777777777777777,Low,"Food, Beverages, Medical",0.3333333333333333,0.875,"EU, FDA, BPI",0.7974683544303798,0.7433628318584071,0.6902048537418104,0.65,0.6566666666666666,0.7506358805279283,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,Recycled PET (rPET),0.75,0.20502092050209203,0.1595744680851064,0.8332986038758075,0.17063291139240508,0.7142857142857142,0.10619469026548672,0.288135593220339,0.7777777777777777,0.8888888888888888,0.7777777777777777,High,"Beverages, Food, General",0.8888888888888888,0.25,"EU, FDA",0.829367088607595,0.8938053097345133,0.3777798283657839,0.788888888888889,0.8066666666666664,0.6959238485706586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
5.0,Bamboo Fiber Composite,0.75,0.28870292887029286,0.9574468085106383,0.004792665138570535,0.49367088607594944,0.4591836734693877,0.3097345132743363,0.15254237288135591,0.6666666666666665,0.5555555555555556,0.4444444444444445,Low,"Food, Cosmetics, Dry Goods",0.4444444444444445,0.625,EU,0.5063291139240507,0.6902654867256637,0.6112162037464242,0.6333333333333333,0.47666666666666624,0.6392283468632637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
6.0,Mushroom Leather,0.375,0.06276150627615062,0.9999999999999999,0.0022921441967076474,0.8481012658227849,0.0510204081632653,0.5575221238938053,0.05084745762711865,0.3333333333333333,0.2222222222222222,0.1111111111111111,Very Low,"Cosmetics, Electronics, Luxury",0.1111111111111111,1.0,Emerging,0.15189873417721522,0.4424778761061947,0.22789978776414138,0.2833333333333334,0.3766666666666667,0.20577564599859263,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7.0,Seaweed-Based Plastic,0.375,0.09623430962343095,0.9893617021276596,0.0031256511773286103,0.6708860759493671,0.1020408163265306,0.43362831858407075,0.06779661016949153,0.3333333333333333,0.3333333333333333,0.2222222222222222,Very Low,"Food, Cosmetics, Beverages",0.2222222222222222,0.875,Emerging,0.3291139240506329,0.5663716814159292,0.34483713204761457,0.3277777777777778,0.39333333333333337,0.31421697725103936,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
8.0,Palm Leaf Disposable,0.25,0.03765690376569038,0.9893617021276596,0.0022921441967076474,0.2658227848101266,0.08163265306122448,0.2743362831858407,0.03389830508474577,0.2222222222222222,0.1111111111111111,0.1111111111111111,Medium,"Food, Catering, Events",0.5555555555555556,0.5,"EU, FDA",0.7341772151898736,0.7256637168141593,0.5553658761649901,0.18888888888888894,0.3599999999999998,0.38830357846430025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
9.0,Starch-Based Peanuts (Loose-fill),0.0,0.0,0.9999999999999999,0.0,0.07594936708860761,0.0,0.0,0.0,0.0,0.0,0.0,Medium,"Electronics, Fragile Items",0.7777777777777777,0.625,"EU, FDA",0.9240506329113924,1.0,0.6227276921657284,0.0,0.9166666666666669,0.5442423058772979,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10.0,Nano-Cellulose Film,0.875,0.14644351464435143,0.9574468085106383,0.006459679099812461,0.708860759493671,0.2040816326530612,0.504424778761062,0.1016949152542373,0.7777777777777777,0.6666666666666665,0.7777777777777777,Very Low,"Food, Pharmaceuticals, High-value",0.1111111111111111,1.0,"EU, Research",0.2911392405063291,0.49557522123893805,0.3568792101134999,0.7944444444444446,0.4266666666666665,0.5207202417637413,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
