RecommendationID,ProductID,MaterialID,RankingScore,CO2ImpactIndex,CostEfficiencyIndex,MaterialSuitabilityScore,RecommendationReason,MaterialName,MaterialType,StrengthRating,WeightCapacity_KG,BiodegradabilityScore,BiodegradationTime_Months,CO2_Emissions_KG_Per_Ton,RecyclabilityPercentage,CostPerKG_USD,Durability_Months,ChemicalResistance,MoistureBarrier,OxygenBarrier,CompostableStatus,SupplierAvailability,CompatibleProducts,ScaleRating,InnovationLevel,RegulationCompliance,ProductName,ProductCategory,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD,strength_gap,moisture_gap,oxygen_gap,estimated_cost_per_unit_usd,budget_gap,estimated_co2_per_unit_kg,is_strength_insufficient,is_moisture_insufficient,is_oxygen_insufficient,is_over_budget,preference_alignment
1,1,40,75.82,79.75,79.65,70.0,Meets strength requirements; Satisfies barrier needs; Low carbon footprint,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3,4.0,1.0,3.0,1.5,-1.2,0.95,0,0,0,1,0.5
2,1,19,74.97,98.73,84.96,49.67,Meets strength requirements; Low carbon footprint,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3,4.0,0.0,3.0,1.2,-0.8999999999999999,0.2,0,0,0,1,0.5
3,1,15,71.76,90.35,100.0,36.65,Meets strength requirements; Biodegradable option; Low carbon footprint,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3,3.0,-1.0,0.0,0.35,-0.04999999999999999,0.531,0,1,0,1,0.5
4,1,1,67.21,86.08,98.23,29.79,Meets strength requirements; Biodegradable option; Low carbon footprint,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3,2.0,-1.0,0.0,0.45,-0.15000000000000002,0.7,0,1,0,1,0.5
5,1,13,66.15,86.84,94.69,29.24,Meets strength requirements; Biodegradable option; Low carbon footprint,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3,2.0,-2.0,-1.0,0.65,-0.35000000000000003,0.67,0,1,1,1,0.5
6,2,15,79.76,90.35,100.0,56.65,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18,3.0,-1.0,0.0,0.175,0.0050000000000000044,0.2655,0,1,0,0,0.5
7,2,40,75.82,79.75,79.65,70.0,Meets strength requirements; Satisfies barrier needs; Low carbon footprint,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18,4.0,1.0,3.0,0.75,-0.5700000000000001,0.475,0,0,0,1,0.5
8,2,19,74.97,98.73,84.96,49.67,Meets strength requirements; Low carbon footprint,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18,4.0,0.0,3.0,0.6,-0.42,0.1,0,0,0,1,0.5
9,2,9,69.72,92.41,100.0,30.0,Cost within budget; Biodegradable option; Low carbon footprint,Starch-Based Peanuts (Loose-fill),Starch-Based,2.0,0.5,99.0,0.25,450.0,0.0,0.35,2.0,1.0,1.0,1.0,Home,Medium,"Electronics, Fragile Items",8.0,7.0,"EU, FDA",Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18,-4.0,-8.0,-6.0,0.175,0.0050000000000000044,0.225,1,1,1,0,0.5
10,2,1,67.21,86.08,98.23,29.79,Meets strength requirements; Biodegradable option; Low carbon footprint,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18,2.0,-1.0,0.0,0.225,-0.04500000000000001,0.35,0,1,0,1,0.5
11,3,15,82.1,90.35,100.0,62.48,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15,5.0,0.0,1.0,0.0525,0.0975,0.07965,0,0,0,0,0.5
12,3,19,78.97,98.73,84.96,59.67,Meets strength requirements; Satisfies barrier needs; Low carbon footprint,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15,6.0,1.0,4.0,0.18,-0.03,0.03,0,0,0,1,0.5
13,3,1,77.14,86.08,98.23,54.63,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15,4.0,0.0,1.0,0.0675,0.08249999999999999,0.105,0,0,0,0,0.5
14,3,40,75.82,79.75,79.65,70.0,Meets strength requirements; Satisfies barrier needs; Low carbon footprint,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15,6.0,2.0,4.0,0.22499999999999998,-0.07499999999999998,0.1425,0,0,0,1,0.5
15,3,13,72.13,86.84,94.69,44.17,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15,4.0,-1.0,0.0,0.0975,0.05249999999999999,0.1005,0,1,0,0,0.5
16,4,19,82.28,98.73,84.96,67.94,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18,6.0,1.0,4.0,0.12,0.06,0.020000000000000004,0,0,0,0,0.5
