Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Recycled Cardboard,28.4,5.1,93.6,1.24,84.3,3,Highly Recommended
Virgin Plastic (PP),74.2,1.1,1.0,4.94,13.7,10,Avoid
Virgin Plastic (PP),85.4,2.7,0.7,5.46,28.5,10,Avoid
Aluminum Foil,37.0,5.0,0.0,8.86,92.2,10,Avoid
Aluminum Foil,35.3,9.0,0.0,11.34,98.3,10,Avoid
Bagasse (Sugarcane),29.0,8.5,97.2,0.95,62.5,5,Highly Recommended
Bamboo Fiber,50.8,3.3,99.7,0.72,33.9,8,Highly Recommended
Edible Seaweed Film,10.3,8.4,100.0,0.35,0.5,2,Consider as Option
Aluminum Foil,28.0,1.7,0.0,10.8,90.3,10,Avoid
Bioplastic (PLA),72.4,10.0,88.3,2.08,50.4,8,Highly Recommended
Edible Seaweed Film,5.0,5.1,100.0,0.41,5.7,3,Consider as Option
Aluminum Foil,31.5,7.8,0.0,8.86,90.4,10,Avoid
Mushroom Mycelium,20.6,0.7,100.0,0.13,100.0,6,Highly Recommended
Virgin Plastic (PP),78.7,0.8,0.8,4.06,25.3,10,Avoid
Bamboo Fiber,54.6,3.4,95.2,0.63,33.6,6,Highly Recommended
Aluminum Foil,39.0,5.1,0.0,9.77,96.0,10,Avoid
Bioplastic (PLA),58.3,2.0,89.2,1.75,56.0,9,Highly Recommended
Bagasse (Sugarcane),32.4,7.8,97.3,1.26,51.0,5,Highly Recommended
Aluminum Foil,36.1,5.9,0.0,8.71,94.8,10,Avoid
Recycled Cardboard,30.9,7.6,99.2,0.97,85.8,4,Highly Recommended
Recycled Cardboard,18.5,9.1,90.3,0.83,92.1,4,Highly Recommended
Aluminum Foil,28.8,3.0,0.0,10.54,91.1,10,Avoid
Recycled Cardboard,33.1,3.8,93.0,1.46,89.9,4,Highly Recommended
Bagasse (Sugarcane),22.5,8.4,97.7,1.02,53.9,6,Highly Recommended
Mushroom Mycelium,23.2,1.7,100.0,0.33,100.0,4,Highly Recommended
Virgin Plastic (PP),73.3,3.3,4.4,5.24,20.5,10,Avoid
Bioplastic (PLA),74.5,8.0,86.6,2.1,46.6,9,Highly Recommended
Recycled Cardboard,20.8,4.3,96.7,0.94,97.6,5,Highly Recommended
Bamboo Fiber,48.6,3.2,96.8,0.63,36.2,6,Highly Recommended
Bioplastic (PLA),72.2,7.6,87.1,1.77,41.7,8,Highly Recommended
Bamboo Fiber,51.7,6.5,96.1,0.89,32.7,6,Highly Recommended
Mushroom Mycelium,18.6,0.6,100.0,0.11,100.0,4,Highly Recommended
Recycled Cardboard,23.9,9.1,92.2,1.05,89.1,5,Highly Recommended
Bagasse (Sugarcane),37.6,6.0,96.3,1.23,62.8,5,Highly Recommended
Virgin Plastic (PP),70.1,4.6,1.8,4.24,12.0,10,Avoid
Mushroom Mycelium,11.0,3.6,100.0,0.21,100.0,6,Highly Recommended
Bagasse (Sugarcane),29.6,4.9,99.1,1.1,62.3,6,Highly Recommended
Aluminum Foil,22.2,2.7,0.0,8.1,93.1,10,Avoid
Virgin Plastic (PP),62.4,5.6,1.4,4.88,19.8,10,Avoid
Aluminum Foil,24.2,3.2,0.0,8.34,97.2,10,Avoid
Aluminum Foil,33.9,7.9,0.0,8.67,96.4,10,Avoid
Mushroom Mycelium,13.2,1.5,100.0,0.11,100.0,6,Highly Recommended
Bamboo Fiber,47.9,9.9,97.5,0.93,33.5,8,Highly Recommended
Bioplastic (PLA),51.5,6.5,91.6,2.0,40.4,8,Highly Recommended
Mushroom Mycelium,22.4,0.6,100.0,0.18,100.0,6,Highly Recommended
Bagasse (Sugarcane),38.8,5.0,96.7,1.16,66.7,5,Highly Recommended
Bioplastic (PLA),74.9,3.9,92.1,2.03,45.0,8,Highly Recommended
Recycled Cardboard,28.9,5.9,90.9,1.05,88.6,3,Highly Recommended
Recycled Cardboard,31.4,2.0,91.5,1.02,92.1,3,Highly Recommended
Recycled Cardboard,22.8,3.7,91.9,0.83,92.6,5,Highly Recommended
Bagasse (Sugarcane),28.2,6.5,96.5,1.01,62.0,5,Highly Recommended
Recycled Cardboard,32.9,1.2,94.3,0.99,80.9,5,Highly Recommended
Recycled Cardboard,15.7,5.7,96.7,1.38,97.4,3,Highly Recommended
Bagasse (Sugarcane),39.7,4.3,95.2,1.11,69.0,6,Highly Recommended
Bagasse (Sugarcane),29.5,6.7,95.2,1.17,57.6,5,Highly Recommended
Aluminum Foil,21.2,4.5,0.0,10.24,94.8,10,Avoid
Bamboo Fiber,50.8,9.4,95.2,0.62,40.5,6,Highly Recommended
Virgin Plastic (PP),73.3,8.5,3.8,3.86,19.1,10,Avoid
Aluminum Foil,20.5,6.2,0.0,10.61,96.7,10,Avoid
Bioplastic (PLA),73.0,1.1,83.0,2.33,56.9,9,Highly Recommended
Mushroom Mycelium,11.1,4.2,100.0,0.19,100.0,4,Highly Recommended
Virgin Plastic (PP),79.3,3.3,2.7,5.88,22.4,10,Avoid
Bioplastic (PLA),51.3,1.7,91.4,1.61,47.4,8,Highly Recommended
Aluminum Foil,39.9,8.0,0.0,11.38,93.5,10,Avoid
Edible Seaweed Film,8.8,6.2,100.0,0.2,0.1,4,Consider as Option
Edible Seaweed Film,12.4,7.9,100.0,0.32,1.9,4,Consider as Option
Virgin Plastic (PP),79.1,9.5,3.2,4.3,19.6,10,Avoid
Edible Seaweed Film,5.2,3.2,100.0,0.31,4.2,4,Consider as Option
Aluminum Foil,27.4,3.0,0.0,10.84,96.5,10,Avoid
Virgin Plastic (PP),69.7,1.8,2.0,5.03,24.3,10,Avoid
Mushroom Mycelium,14.8,4.9,100.0,0.17,100.0,6,Highly Recommended
Bagasse (Sugarcane),27.3,8.3,99.7,1.35,64.5,5,Highly Recommended
Mushroom Mycelium,16.3,5.5,100.0,0.2,100.0,4,Highly Recommended
Virgin Plastic (PP),60.0,5.1,3.5,3.58,24.4,10,Avoid
Recycled Cardboard,18.7,9.5,94.4,0.92,96.3,4,Highly Recommended
Mushroom Mycelium,20.5,5.2,100.0,0.36,100.0,4,Highly Recommended
Mushroom Mycelium,20.7,3.6,100.0,0.31,100.0,6,Highly Recommended
Bamboo Fiber,57.1,4.1,98.7,1.13,49.0,6,Highly Recommended
Bagasse (Sugarcane),25.4,4.2,97.8,0.95,50.6,6,Highly Recommended
Bagasse (Sugarcane),27.4,9.8,97.5,1.36,60.4,6,Highly Recommended
