Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Mushroom Mycelium,11.5,8.5,100.0,0.29,100.0,5,Highly Recommended,133.0
Recycled Cardboard,16.5,7.7,94.8,0.88,95.4,4,Highly Recommended,130.0
Bagasse (Sugarcane),22.4,0.7,96.5,1.2,63.2,5,Highly Recommended,76.8
Virgin Plastic (PP),83.3,6.1,4.3,3.82,17.0,10,Avoid,277.6
Mushroom Mycelium,23.0,7.4,100.0,0.27,100.0,4,Highly Recommended,140.0
Virgin Plastic (PP),63.2,5.2,0.8,3.54,28.6,10,Avoid,228.4
Bioplastic (PLA),67.7,5.3,92.7,1.53,55.9,8,Highly Recommended,228.4
Recycled Cardboard,31.9,2.4,91.8,0.86,99.5,3,Highly Recommended,102.8
Edible Seaweed Film,10.7,7.1,100.0,0.53,2.5,3,Consider as Option,107.4
Bioplastic (PLA),72.7,2.3,82.8,2.46,59.3,8,Consider as Option,208.4
Edible Seaweed Film,6.3,2.0,100.0,0.31,0.8,2,Consider as Option,42.6
Edible Seaweed Film,10.5,7.3,100.0,0.25,6.7,2,Consider as Option,104.0
Bagasse (Sugarcane),29.6,8.5,97.9,1.17,66.3,7,Highly Recommended,179.2
Aluminum Foil,35.6,3.6,0.0,9.89,95.4,10,Avoid,157.2
Virgin Plastic (PP),69.7,5.7,4.4,5.91,15.9,10,Avoid,246.4
Recycled Cardboard,27.3,1.5,92.7,0.92,95.9,4,Highly Recommended,89.6
Recycled Cardboard,16.5,3.2,97.0,0.92,85.3,4,Highly Recommended,85.0
Virgin Plastic (PP),72.3,7.3,3.7,5.88,13.0,10,Avoid,267.6
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,Highly Recommended,150.2
Virgin Plastic (PP),81.3,7.8,3.8,3.92,19.7,10,Avoid,290.6
Mushroom Mycelium,23.6,0.6,100.0,0.26,100.0,5,Highly Recommended,78.2
Virgin Plastic (PP),60.0,8.7,1.0,5.16,17.9,10,Avoid,257.0
Bamboo Fiber,53.8,5.6,97.6,0.68,31.0,7,Highly Recommended,198.6
Bioplastic (PLA),69.2,6.0,87.9,1.59,44.5,8,Highly Recommended,238.4
