Material,Product_Name,Shape,Product_Quantity,No_of_Units,Countries_Tags,Cost_Per_Unit_USD,Strength_MPa,Biodegradability,CO2_Emission,Recyclability,Moisture_Barrier,Sustainability_Score,Material_Suitability_Score,Cost_Efficiency_Index,AI_Recommendation,Z_Sustainability_Index,Predicted_Cost,Predicted_CO2,AI_Final_Recommendation,True_Label
Glass,Yogurt,Cup,1000,1,en:france,0.31,87.8,0.0,2.67,87.5,10,14.15,100,1.84,Avoid,-0.30945252261180245,0.31260000000000066,2.5729500000000036,Not Recommended,Not Recommended
Glass,Sandwich,Wrapper,100,1,en:france,0.35,89.5,0.0,2.71,96.6,10,15.77,100,1.65,Avoid,-0.23270987162973317,0.35415000000000013,2.5980499999999944,Not Recommended,Not Recommended
Glass,Frozen Peas,Pouch,6000,12,en:usa,0.36,94.3,0.0,2.46,90.2,10,15.740000000000002,100,1.61,Avoid,-0.2998031929489194,0.36009999999999953,2.4654999999999934,Not Recommended,Not Recommended
Bioplastic (PLA),Yogurt,Cup,6000,6,en:germany,0.39,58.6,81.2,1.97,45.0,8,39.63,100,1.79,Avoid,-0.12889509452187065,0.3908000000000004,2.0106000000000055,Not Recommended,Not Recommended
Virgin Plastic (PP),Orange Juice,Bottle,500,1,en:france,0.05,63.5,1.3,4.91,30.0,10,0.0,100,8.877500000000001,Avoid,-0.3421739771833005,0.045749999999999985,4.732049999999992,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,3000,12,en:usa,0.42,48.1,95.8,0.67,41.3,8,51.23,100,1.8,Good Alternative,-0.040422255248182624,0.42025000000000107,0.6987000000000003,Not Recommended,Not Recommended
Mushroom Mycelium,Frozen Peas,Pouch,1500,6,en:japan,0.72,17.3,100.0,0.38,100.0,4,62.1,100,1.13,Good Alternative,0.36437531927181077,0.7176499999999993,0.32045000000000073,Recommended,Recommended
Glass,Tomato Sauce,Jar,100,1,en:france,0.35,97.3,0.0,2.68,96.7,10,15.940000000000005,100,1.66,Avoid,-0.23095309549923548,0.3511500000000003,2.466350000000003,Not Recommended,Not Recommended
Mushroom Mycelium,Tomato Sauce,Jar,500,1,en:france,0.55,22.2,100.0,0.22,100.0,4,62.9,100,1.03,Good Alternative,0.35681859409969996,0.5590499999999996,0.22205000000000014,Recommended,Recommended
Aluminum Foil/Can,Sandwich,Wrapper,1000,1,en:uk,0.23,26.6,0.0,8.875,94.0,10,0.0,100,2.17,Avoid,-0.2194435946802083,0.22999999999999932,8.82585,Not Recommended,Not Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,7125,12,en:germany,0.05,63.3,1.6,4.31,12.8,10,0.0,100,8.877500000000001,Avoid,-0.5118002781114421,0.045799999999999966,4.451249999999982,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,1500,6,en:germany,0.37,52.8,96.9,0.63,44.8,7,51.57000000000001,100,2.05,Good Alternative,-0.019119609383206143,0.36929999999999974,0.7127499999999989,Not Recommended,Not Recommended
Recycled Cardboard,Frozen Peas,Pouch,500,1,en:japan,0.1,18.9,90.3,1.44,98.7,3,51.66,100,7.58,Good Alternative,0.713855212312417,0.09830000000000005,1.1274499999999985,Highly Recommended,Recommended
Recycled Cardboard,Biscuits,Box,1000,1,en:uk,0.07,33.0,99.9,1.07,92.2,3,56.05,100,8.877500000000001,Good Alternative,0.8288646443858018,0.06810000000000016,1.105049999999997,Highly Recommended,Recommended
Bioplastic (PLA),Tomato Sauce,Jar,1500,6,en:uk,0.48,52.5,92.8,1.91,52.5,9,47.07,100,1.53,Good Alternative,0.06769035481024968,0.4792000000000002,1.9100500000000036,Recommended,Recommended
Aluminum Foil/Can,Potato Chips,Bag,6000,12,en:india,0.25,43.7,0.0,8.875,90.4,10,0.0,100,2.0,Avoid,-0.26832975755111393,0.24635,8.8265,Not Recommended,Not Recommended
Mushroom Mycelium,Tomato Sauce,Jar,1500,6,en:india,0.65,12.0,100.0,0.35,100.0,4,62.25,100,0.86,Good Alternative,0.3439721613071115,0.653350000000001,0.30505000000000076,Recommended,Recommended
Mushroom Mycelium,Frozen Peas,Pouch,500,1,en:usa,0.74,15.7,100.0,0.31,100.0,5,63.45,100,1.1,Good Alternative,0.40413567062673417,0.7401499999999993,0.24269999999999997,Recommended,Recommended
Virgin Plastic (PP),Biscuits,Box,3000,6,en:usa,0.05,86.5,0.9,3.69,11.1,10,0.0,100,8.877500000000001,Avoid,-0.5348005875040029,0.04439999999999995,3.9527000000000116,Not Recommended,Not Recommended
Mushroom Mycelium,Biscuits,Box,250,1,en:japan,0.8,21.5,100.0,0.25,100.0,6,64.75,100,1.03,Good Alternative,0.4408733319128133,0.7954000000000012,0.24375,Recommended,Recommended
Mushroom Mycelium,Sandwich,Wrapper,3000,6,en:germany,0.6,18.0,100.0,0.4,100.0,5,63.0,100,1.02,Good Alternative,0.39809029048904554,0.6074499999999989,0.34269999999999967,Recommended,Recommended
Aluminum Foil/Can,Potato Chips,Bag,3000,12,en:usa,0.16,25.9,0.0,8.875,97.0,10,0.0,100,1.88,Avoid,-0.2113249892807319,0.16125000000000023,8.865499999999999,Not Recommended,Not Recommended
Glass,Orange Juice,Bottle,3000,12,en:india,0.23,93.1,0.0,1.98,96.9,10,19.480000000000004,100,2.6,Avoid,-0.15791767165482057,0.22909999999999933,2.086850000000003,Not Recommended,Not Recommended
Bioplastic (PLA),Biscuits,Box,100,1,en:uk,0.38,52.3,84.9,1.93,58.6,9,45.03,100,1.91,Good Alternative,0.08996718953640784,0.3722500000000001,2.047249999999998,Recommended,Recommended
Aluminum Foil/Can,Frozen Peas,Pouch,3000,12,en:uk,0.16,37.7,0.0,8.64,95.7,10,0.0,100,3.12,Avoid,-0.13063594411928342,0.16000000000000011,8.68452500000002,Not Recommended,Not Recommended
Mushroom Mycelium,Orange Juice,Bottle,250,1,en:france,0.56,18.8,100.0,0.13,100.0,6,65.35,100,1.03,Good Alternative,0.4408733319128133,0.5541000000000009,0.19950000000000018,Recommended,Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,1200,12,en:usa,0.05,89.0,4.0,5.32,27.0,10,0.0,100,8.877500000000001,Avoid,-0.34913540056752707,0.0360499999999999,4.8040999999999965,Not Recommended,Not Recommended
Mushroom Mycelium,Biscuits,Box,100,1,en:usa,0.58,15.4,100.0,0.39,100.0,4,62.05,100,1.4,Good Alternative,0.38477847723650993,0.5840999999999998,0.3353500000000002,Recommended,Recommended
Bioplastic (PLA),Biscuits,Box,6000,6,en:usa,0.46,53.6,89.3,2.12,57.6,8,44.64,100,1.57,Good Alternative,0.04983422041670949,0.4591999999999989,2.111450000000003,Recommended,Recommended
Recycled Cardboard,Orange Juice,Bottle,3000,6,en:uk,0.13,26.1,99.5,1.27,96.6,4,56.77,100,2.18,Technical Failure (Not Suitable),0.4054108764653096,0.1354000000000001,1.1527499999999997,Recommended,Recommended
Recycled Cardboard,Biscuits,Box,100,1,en:uk,0.06,16.8,98.9,1.32,90.3,3,54.02,100,8.877500000000001,Good Alternative,0.8012986072095153,0.06080000000000009,1.249549999999997,Highly Recommended,Recommended
Glass,Yogurt,Cup,500,1,en:usa,0.22,87.4,0.0,1.56,96.1,10,21.42,100,2.76,Avoid,-0.15383574028573616,0.21794999999999962,1.7373000000000016,Not Recommended,Not Recommended
Aluminum Foil/Can,Orange Juice,Bottle,500,1,en:usa,0.24,27.3,0.0,8.34,90.2,10,0.0,100,2.08,Avoid,-0.2642865846399985,0.2400000000000002,8.46747499999998,Not Recommended,Not Recommended
Glass,Potato Chips,Bag,6000,12,en:germany,0.39,96.0,0.0,2.88,88.0,10,13.200000000000005,100,1.45,Avoid,-0.33391823271660176,0.39440000000000025,2.79855,Not Recommended,Not Recommended
Bamboo Fiber,Tomato Sauce,Jar,1500,6,en:usa,0.33,49.0,98.2,0.53,30.3,7,49.690000000000005,100,1.51,Good Alternative,-0.19397736015816702,0.329149999999999,0.6561500000000002,Not Recommended,Not Recommended
Bioplastic (PLA),Orange Juice,Bottle,6000,6,en:france,0.49,58.7,93.3,2.11,42.2,9,44.21000000000001,100,1.47,Good Alternative,-0.0356848181996152,0.49009999999999887,2.056550000000005,Not Recommended,Not Recommended
Bamboo Fiber,Sandwich,Wrapper,1000,1,en:uk,0.3,58.3,97.3,0.55,45.5,7,52.27,100,2.54,Good Alternative,0.0283340966626794,0.29864999999999897,0.6477499999999989,Recommended,Recommended
Aluminum Foil/Can,Tomato Sauce,Jar,1500,6,en:france,0.19,36.5,0.0,8.875,91.3,10,0.0,100,2.63,Avoid,-0.21171245644723657,0.1900000000000001,8.865699999999999,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,1200,12,en:japan,0.27,55.3,98.2,0.7,49.1,8,53.6,100,2.84,Good Alternative,0.1367619328353429,0.27165000000000106,0.7604999999999995,Recommended,Recommended
Recycled Cardboard,Biscuits,Box,6000,6,en:india,0.05,27.7,95.8,1.27,92.9,3,53.55,100,8.877500000000001,Good Alternative,0.8008375887310591,0.055350000000000094,1.1767500000000026,Highly Recommended,Recommended
Virgin Plastic (PP),Orange Juice,Bottle,1000,1,en:japan,0.03,65.0,4.7,3.63,26.1,10,0.0,100,8.877500000000001,Avoid,-0.3521637851204176,0.032200000000000034,3.9922999999999975,Not Recommended,Not Recommended
Aluminum Foil/Can,Orange Juice,Bottle,7125,12,en:usa,0.14,31.5,0.0,8.875,92.9,10,0.0,100,3.57,Avoid,-0.12466158201680931,0.14000000000000037,8.842274999999999,Not Recommended,Not Recommended
Mushroom Mycelium,Orange Juice,Bottle,500,1,en:japan,0.71,20.1,100.0,0.29,100.0,5,63.55,100,0.8,Good Alternative,0.38146549511040173,0.7090999999999984,0.26644999999999963,Recommended,Recommended
Bamboo Fiber,Biscuits,Box,6000,6,en:japan,0.42,48.3,96.9,1.13,41.3,7,48.370000000000005,100,1.77,Good Alternative,-0.07531706633014715,0.42060000000000136,0.8190999999999998,Not Recommended,Not Recommended
Mushroom Mycelium,Frozen Peas,Pouch,3000,6,en:japan,0.69,21.7,100.0,0.18,100.0,4,63.1,100,0.89,Good Alternative,0.3462391788587448,0.6906499999999993,0.22099999999999995,Recommended,Recommended
Mushroom Mycelium,Frozen Peas,Pouch,1000,1,en:japan,0.68,19.5,100.0,0.24,100.0,5,63.8,100,1.2,Good Alternative,0.4116923957988451,0.6780500000000024,0.2764000000000001,Recommended,Recommended
Glass,Orange Juice,Bottle,250,1,en:germany,0.35,81.8,0.0,2.78,95.0,10,15.1,100,1.64,Avoid,-0.24948320195952972,0.35294999999999993,2.5851999999999924,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,1000,1,en:india,0.34,46.8,97.6,0.8,43.5,8,51.74,100,2.23,Good Alternative,0.02947706582711305,0.33670000000000067,0.7559500000000005,Recommended,Recommended
Mushroom Mycelium,Tomato Sauce,Jar,6000,12,en:germany,0.63,15.2,100.0,0.39,100.0,4,62.05,100,0.57,Technical Failure (Not Suitable),0.32205765830799016,0.6387999999999989,0.3398500000000002,Recommended,Recommended
Aluminum Foil/Can,Tomato Sauce,Jar,250,1,en:germany,0.17,33.6,0.0,8.875,94.1,10,0.0,100,2.94,Avoid,-0.1602557072416685,0.17000000000000084,8.852425,Not Recommended,Not Recommended
Glass,Yogurt,Cup,3000,12,en:germany,0.38,82.8,0.0,2.61,81.3,10,13.210000000000004,100,1.49,Avoid,-0.3979694847379591,0.38150000000000034,2.5161500000000068,Not Recommended,Not Recommended
Mushroom Mycelium,Biscuits,Box,1000,1,en:france,0.6,22.6,100.0,0.15,100.0,5,64.25,100,1.37,Good Alternative,0.42453882859143344,0.5942499999999993,0.27619999999999967,Recommended,Recommended
Glass,Tomato Sauce,Jar,3000,12,en:france,0.38,83.5,0.0,2.88,87.1,10,13.02,100,1.49,Avoid,-0.3399054751673368,0.3822500000000002,2.6581499999999987,Not Recommended,Not Recommended
Glass,Frozen Peas,Pouch,3000,12,en:germany,0.39,98.4,0.0,2.99,93.7,10,13.79,100,1.46,Avoid,-0.2760996542420549,0.3924500000000004,2.8210000000000046,Not Recommended,Not Recommended
Mushroom Mycelium,Soda Can,Can,7125,12,en:japan,0.7,21.1,100.0,0.25,100.0,6,64.75,100,0.53,Technical Failure (Not Suitable),0.40308970605225913,0.6990000000000005,0.25274999999999986,Recommended,Recommended
Glass,Soda Can,Can,3000,12,en:uk,0.3,85.7,0.0,2.97,98.2,10,14.79,100,1.91,Avoid,-0.19704472836965953,0.30179999999999935,2.7035500000000074,Not Recommended,Not Recommended
Virgin Plastic (PP),Sandwich,Wrapper,1000,1,en:france,0.04,62.0,1.1,5.67,24.8,10,0.0,100,8.877500000000001,Avoid,-0.39594037877897165,0.04114999999999998,5.251099999999988,Not Recommended,Not Recommended
Aluminum Foil/Can,Tomato Sauce,Jar,3000,12,en:india,0.13,40.7,0.0,8.46,93.5,10,0.0,100,3.85,Avoid,-0.09749612985517948,0.12994999999999984,8.595600000000013,Not Recommended,Not Recommended
Virgin Plastic (PP),Orange Juice,Bottle,6000,12,en:usa,0.03,80.6,4.1,5.54,14.1,10,0.0,100,8.877500000000001,Avoid,-0.47742325982911343,0.03320000000000003,5.275249999999988,Not Recommended,Not Recommended
Recycled Cardboard,Soda Can,Can,600,6,en:france,0.14,25.6,93.4,1.15,97.1,4,55.03000000000001,100,3.04,Technical Failure (Not Suitable),0.4232793130164646,0.1361000000000003,1.1738000000000026,Recommended,Recommended
Mushroom Mycelium,Yogurt,Cup,3000,12,en:france,0.58,18.0,100.0,0.23,100.0,4,62.85,100,0.8,Technical Failure (Not Suitable),0.33943812620384506,0.6142499999999989,0.22804999999999964,Recommended,Recommended
Bioplastic (PLA),Yogurt,Cup,3000,6,en:japan,0.47,67.6,91.0,1.71,40.9,8,44.03,100,1.53,Good Alternative,-0.10584615658046573,0.4694999999999991,2.0157499999999984,Not Recommended,Not Recommended
Recycled Cardboard,Soda Can,Can,6000,12,en:india,0.06,18.3,95.9,1.4,85.8,4,52.52000000000001,100,4.38,Technical Failure (Not Suitable),0.43277739333096765,0.06605000000000008,1.3089500000000018,Recommended,Recommended
Bamboo Fiber,Orange Juice,Bottle,600,6,en:japan,0.35,54.7,99.6,0.77,39.2,6,49.830000000000005,100,1.43,Good Alternative,-0.140988791686528,0.35135000000000033,0.8007500000000006,Not Recommended,Not Recommended
Mushroom Mycelium,Orange Juice,Bottle,3000,6,en:france,0.52,18.9,100.0,0.37,100.0,5,63.15,100,0.7,Technical Failure (Not Suitable),0.3739087699382909,0.5277499999999999,0.3375999999999996,Recommended,Recommended
Aluminum Foil/Can,Potato Chips,Bag,6000,6,en:france,0.15,25.0,0.0,8.875,97.5,10,0.0,100,2.0,Avoid,-0.197251401007766,0.1744999999999996,8.822875,Not Recommended,Not Recommended
Aluminum Foil/Can,Sandwich,Wrapper,6000,12,en:germany,0.14,24.1,0.0,8.875,99.3,10,0.0,100,2.14,Avoid,-0.16865212072765218,0.14325000000000032,8.827675,Not Recommended,Not Recommended
