Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_pct,CO2_Emission_g,Recyclability_pct,Cost_per_kg_INR,Typical_Product_Category,extreme_outlier,CO2_Impact_Index,Biodeg_Index,Recycl_Index,Cost_per_Strength,Cost_Strength_Norm,Cost_Efficiency_Index,Material_Suitability_Score
Mushroom Packaging,26.27,17.01,84,61,64,50.53,Food,FALSE,0.233333333,0.783783784,0.64,1.923486794,0.21757214,0.78242786,0.750408767
Kraft Paper,55.66,0.46,100,142,61,79.46,Food,FALSE,0.570833333,1,0.61,1.427596094,0.217051225,0.782948775,0.72502886
Bamboo Fiber,48.9,7.08,77,136,66,118.03,Food,FALSE,0.545833333,0.689189189,0.66,2.413701382,0.218087093,0.781912907,0.64777665
Starch Foam,34.84,5.82,77,61,54,24.64,Food,FALSE,0.233333333,0.689189189,0.54,0.707233045,0.216294509,0.783705491,0.702349796
Mushroom Packaging,42.48,20.65,81,17,62,57.73,Food,FALSE,0.05,0.743243243,0.62,1.358992435,0.216979159,0.783020841,0.780228183
Bamboo Fiber,65.59,12.37,54,41,78,70.2,Food,FALSE,0.15,0.378378378,0.78,1.070285088,0.216675882,0.783324118,0.677844543
Hemp Fiber,55.29,12.4,95,152,69,72.08,Food,FALSE,0.6125,0.932432432,0.69,1.303671526,0.216921046,0.783078954,0.710374468
Palm Leaf,33.47,13.31,69,77,82,79.02,Food,FALSE,0.3,0.581081081,0.82,2.360920157,0.218031648,0.781968352,0.708816412
Bagasse (Sugarcane),22.49,12.78,88,104,54,88.93,Food,FALSE,0.4125,0.837837838,0.54,3.954201692,0.219705334,0.780294666,0.701300018
HDPE (Recycled),72.84,8.99,56,182,67,98.16,Food,FALSE,0.7375,0.405405405,0.67,1.347611184,0.216967204,0.783032796,0.517004821
Recycled Paper,58.32,14.42,72,141,47,56.52,Food,FALSE,0.566666667,0.621621622,0.47,0.969135786,0.216569629,0.783430371,0.584677413
Recycled Paper,35.88,12.17,78,212,49,96.54,Food,FALSE,0.8625,0.702702703,0.49,2.690635377,0.218378003,0.781621997,0.53859131
Bagasse (Sugarcane),37.14,17.54,73,146,73,102.5,Food,FALSE,0.5875,0.635135135,0.73,2.759827605,0.218450687,0.781549313,0.635052869
Cornstarch Polymer,28.04,12.4,79,34,90,77.41,Food,FALSE,0.120833333,0.716216216,0.9,2.760698903,0.218451602,0.781548398,0.810043631
Cornstarch Polymer,10.74,17.21,99,148,100,60.94,Food,FALSE,0.595833333,0.986486486,1,5.674114928,0.221512041,0.778487959,0.791609602
PLA-coated Paper,35.22,19.08,66,102,82,77.65,Food,FALSE,0.404166667,0.540540541,0.82,2.204713169,0.217867559,0.782132441,0.670653606
Recycled Paper,41.09,9.8,63,108,100,63.1,Food,FALSE,0.429166667,0.5,1,1.535653406,0.217164735,0.782835265,0.68841715
Recycled Paper,40.73,13.67,66,67,69,121.06,Food,FALSE,0.258333333,0.540540541,0.69,2.972256249,0.218673835,0.781326165,0.68091037
Jute Fiber,48.12,1.58,86,108,38,33.64,Food,FALSE,0.429166667,0.810810811,0.38,0.699085605,0.216285951,0.783714049,0.657880089
Recycled Paper,28.99,7.86,87,51,74,62.59,Food,FALSE,0.191666667,0.824324324,0.74,2.159020277,0.21781956,0.78218044,0.792925741
Glassine Paper,43.75,6.44,80,138,97,54.62,Food,FALSE,0.554166667,0.72972973,0.97,1.248457114,0.216863046,0.783136954,0.720161491
Cornstarch Polymer,31.66,15.39,80,116,100,54.82,Food,FALSE,0.4625,0.72972973,1,1.731522371,0.217370489,0.782629511,0.748951297
Wheat Straw,31.02,10.11,74,153,63,85.72,Food,FALSE,0.616666667,0.648648649,0.63,2.763378376,0.218454416,0.781545584,0.611814324
Cellulose Film,8.64,11.4,60,238,70,82.67,Food,FALSE,0.970833333,0.459459459,0.7,9.56828593,0.225602729,0.774397271,0.478728822
Glassine Paper,34.3,6.47,48,146,70,43.8,Food,FALSE,0.5875,0.297297297,0.7,1.276967893,0.216892995,0.783107005,0.52809094
Recycled Paper,53.42,6.34,77,103,74,49.23,Food,FALSE,0.408333333,0.689189189,0.74,0.92156494,0.216519657,0.783480343,0.698543509
Kraft Paper,32.61,14.76,64,58,62,64,Food,FALSE,0.220833333,0.513513514,0.62,1.962588103,0.217613215,0.782386785,0.668442417
PLA-coated Paper,38.32,10.07,90,121,63,54.45,Food,FALSE,0.483333333,0.864864865,0.63,1.420928982,0.217044221,0.782955779,0.710365071
Starch Foam,27.11,3.98,80,133,86,48.22,Food,FALSE,0.533333333,0.72972973,0.86,1.778679388,0.217420025,0.782579975,0.703230579
Bagasse (Sugarcane),12.02,4.32,72,126,61,52.59,Food,FALSE,0.504166667,0.621621622,0.61,4.375207623,0.220147586,0.779852414,0.627407923
Starch Foam,19.22,6.04,96,77,87,55.46,Food,FALSE,0.3,0.945945946,0.87,2.88553575,0.218582738,0.781417262,0.828138099
HDPE (Recycled),60.87,7.48,100,173,85,78.94,Food,FALSE,0.7,1,0.85,1.296862144,0.216913893,0.783086107,0.740771527
HDPE (Recycled),67.64,0.49,91,125,75,69.92,Food,FALSE,0.5,0.878378378,0.75,1.03370785,0.216637459,0.783362541,0.734354149
Seaweed-based,33.99,8.74,32,151,72,53.38,Food,FALSE,0.608333333,0.081081081,0.72,1.570461854,0.2172013,0.7827987,0.461940666
Seaweed-based,23.47,5.98,82,69,78,94.09,Food,FALSE,0.266666667,0.756756757,0.78,4.008947422,0.219762842,0.780237158,0.76141965
Starch Foam,15.46,11.27,82,116,41,43.42,Food,FALSE,0.4625,0.756756757,0.41,2.808537981,0.218501855,0.781498145,0.638776563
Recycled Paper,25.32,16.17,62,5,81,43.89,Food,FALSE,0,0.486486486,0.81,1.733412254,0.217372474,0.782627526,0.753602827
Starch Foam,25.28,6.99,91,129,100,48.7,Food,FALSE,0.516666667,0.878378378,1,1.926423974,0.217575226,0.782424774,0.77995304
Corrugated Cardboard,27.55,1.63,70,83,57,69.13,Food,FALSE,0.325,0.594594595,0.57,2.509255807,0.21818747,0.78181253,0.656581511
Wheat Straw,11.2,4.44,62,53,49,27.6,Food,FALSE,0.2,0.486486486,0.49,2.464285494,0.21814023,0.78185977,0.639410888
Bagasse (Sugarcane),41.34,9.98,72,110,100,106.45,Food,FALSE,0.4375,0.621621622,1,2.574987843,0.218256519,0.781743481,0.722547357
Cellulose Film,38.76,11.37,74,93,79,77.73,Food,FALSE,0.366666667,0.648648649,0.79,2.005417905,0.217658206,0.782341794,0.706513376
Corrugated Cardboard,31.5,7.72,65,100,49,53.93,Food,FALSE,0.395833333,0.527027027,0.49,1.712063438,0.217350048,0.782649952,0.602812263
Jute Fiber,65.17,1.85,70,111,59,96.71,Food,FALSE,0.441666667,0.594594595,0.59,1.483964992,0.217110438,0.782889562,0.631684102
Paperboard,31.47,9.82,100,69,77,76.32,Food,FALSE,0.266666667,1,0.77,2.425166748,0.218099137,0.781900863,0.832808549
Kraft Paper,43.94,9.7,90,107,62,76.54,Food,FALSE,0.425,0.864864865,0.62,1.741920761,0.217381412,0.782618588,0.722864107
Cellulose Film,27.08,6.03,81,90,69,94.81,Food,FALSE,0.354166667,0.743243243,0.69,3.501107699,0.219229375,0.780770625,0.717623963
Bagasse (Sugarcane),18.66,9.85,71,154,44,94.89,Food,FALSE,0.620833333,0.608108108,0.44,5.085208731,0.220893416,0.779106584,0.560000745
Glassine Paper,52.52,8.91,70,152,62,57.91,Food,FALSE,0.6125,0.594594595,0.62,1.102627549,0.216709857,0.783290143,0.595075914
Mushroom Packaging,30.48,7.68,45,88,22,71.62,Food,FALSE,0.345833333,0.256756757,0.22,2.349737456,0.218019901,0.781980099,0.480063718
Paperboard,26.82,14.97,71,150,47,52.5,Food,FALSE,0.604166667,0.608108108,0.47,1.957494334,0.217607864,0.782392136,0.5709888
PLA-coated Paper,47.61,14.57,79,37,93,48.86,Food,FALSE,0.133333333,0.716216216,0.93,1.026254967,0.21662963,0.78337037,0.813374124
Corrugated Cardboard,66.13,4.07,51,121,69,69.85,Food,FALSE,0.483333333,0.337837838,0.69,1.056252819,0.216661142,0.783338858,0.564352733
Kraft Paper,40.73,11.97,65,74,74,94.28,Food,FALSE,0.2875,0.527027027,0.74,2.314755651,0.217983154,0.782016846,0.67973732
PLA-coated Paper,44.16,4.52,74,105,49,64.96,Food,FALSE,0.416666667,0.648648649,0.49,1.471014459,0.217096834,0.782903166,0.634153719
Wheat Straw,31.35,12.63,79,240,82,35.23,Food,FALSE,0.979166667,0.716216216,0.82,1.123763919,0.21673206,0.78326794,0.579890183
Cellulose Film,25.59,17.77,99,39,87,97.57,Food,FALSE,0.141666667,0.986486486,0.87,3.812817358,0.219556815,0.780443185,0.879640076
Mushroom Packaging,32.13,0.23,87,85,49,94.65,Food,FALSE,0.333333333,0.824324324,0.49,2.945844913,0.218646091,0.781353909,0.707302441
Glassine Paper,61.57,18.05,73,115,51,29.74,Food,FALSE,0.458333333,0.635135135,0.51,0.483027441,0.216058989,0.783941011,0.62394246
PLA-coated Paper,45.31,7.74,84,78,74,62.85,Food,FALSE,0.304166667,0.783783784,0.74,1.387110982,0.217008697,0.782991303,0.752841294
Mushroom Packaging,23.76,13.9,55,78,19,87,Food,FALSE,0.304166667,0.391891892,0.19,3.661616008,0.219397983,0.780602017,0.524676405
PLA Bioplastic,0.27,3.36,71,52,69,92.88,Food,FALSE,0.195833333,0.608108108,0.69,343.9987259,0.576909981,0.423090019,0.627246604
Hemp Fiber,64.63,4.45,63,131,80,63.56,Food,FALSE,0.525,0.5,0.8,0.983444206,0.216584659,0.783415341,0.624603835
Jute Fiber,49.42,1.8,80,103,60,22.39,Food,FALSE,0.408333333,0.72972973,0.6,0.453055434,0.216027505,0.783972495,0.682828709
HDPE (Recycled),77.76,13.64,61,119,69,100.09,Food,FALSE,0.475,0.472972973,0.69,1.287165621,0.216903708,0.783096292,0.606915965
Wheat Straw,27.48,10.15,99,26,42,103.98,Food,FALSE,0.0875,0.986486486,0.42,3.783842657,0.219526378,0.780473622,0.803189351
Jute Fiber,81.11,10.01,91,113,41,82.38,Food,FALSE,0.45,0.878378378,0.41,1.015657736,0.216618498,0.783381502,0.678858889
Recycled Paper,32.99,8.88,100,109,100,48.6,Food,FALSE,0.433333333,1,1,1.473173644,0.217099102,0.782900898,0.837391891
Corrugated Cardboard,32.73,7.83,50,94,76,39.21,Food,FALSE,0.370833333,0.324324324,0.76,1.197983465,0.216810025,0.783189975,0.602386458
Wheat Straw,33.26,6.47,66,87,75,55.74,Food,FALSE,0.341666667,0.540540541,0.75,1.675886901,0.217312045,0.782687955,0.672417484
Wheat Straw,5.98,1.55,84,112,46,74.92,Food,FALSE,0.445833333,0.783783784,0.46,12.528426,0.228712251,0.771287749,0.658498739
Mushroom Packaging,4.84,5.21,100,5,100,53.67,Food,FALSE,0,1,1,11.08884068,0.227200018,0.772799982,0.943199996
Paperboard,35.4,12.3,64,96,41,63.88,Food,FALSE,0.379166667,0.513513514,0.41,1.804519723,0.21744717,0.78255283,0.586900595
Jute Fiber,59.11,9.82,63,103,44,90.04,Food,FALSE,0.408333333,0.5,0.44,1.52326169,0.217151718,0.782848282,0.581628737
Bagasse (Sugarcane),33.37,3.22,59,122,70,79.07,Food,FALSE,0.4875,0.445945946,0.7,2.369493486,0.218040654,0.781959346,0.59739862
Paperboard,25.36,10.95,83,59,20,63.36,Food,FALSE,0.225,0.77027027,0.2,2.498422614,0.21817609,0.78182391,0.660287059
Corrugated Cardboard,36.35,14.16,67,148,100,61.7,Food,FALSE,0.595833333,0.554054054,1,1.697386473,0.21733463,0.78266537,0.662924225
Cornstarch Polymer,26.69,16.1,93,24,48,37.23,Food,FALSE,0.079166667,0.905405405,0.48,1.394904406,0.217016883,0.782983117,0.793575734
Mushroom Packaging,36.09,8.17,80,93,63,67.36,Food,FALSE,0.366666667,0.72972973,0.63,1.866444947,0.21751222,0.78248778,0.698874197
Cornstarch Polymer,20.82,6.96,72,113,69,76.27,Food,FALSE,0.45,0.621621622,0.69,3.663304339,0.219399757,0.780600243,0.657136547
Cotton Padding,34.39,11.51,95,73,69,38.84,Food,FALSE,0.283333333,0.932432432,0.69,1.129398048,0.216737978,0.783262022,0.792711902
Recycled Paper,30.7,4.95,84,69,69,72.45,Food,FALSE,0.266666667,0.783783784,0.69,2.359934777,0.218030613,0.781969387,0.751960815
Recycled Paper,61.18,9.41,68,58,79,61.84,Food,FALSE,0.220833333,0.567567568,0.79,1.010787823,0.216613383,0.783386617,0.718908591
HDPE (Recycled),53.28,5.51,93,83,80,79.45,Food,FALSE,0.325,0.905405405,0.8,1.491178651,0.217118016,0.782881984,0.796092118
Paperboard,44.53,2.29,81,108,100,86.5,Food,FALSE,0.429166667,0.743243243,1,1.942510623,0.217592124,0.782407876,0.761283275
Bagasse (Sugarcane),26.04,15.06,100,88,100,68.8,Food,FALSE,0.345833333,1,1,2.642088992,0.218327006,0.781672994,0.858959915
Wheat Straw,29.18,17.99,71,36,100,86.14,Food,FALSE,0.129166667,0.608108108,1,2.952021832,0.21865258,0.78134742,0.795477621
Mushroom Packaging,20.04,13.95,81,134,60,62.52,Food,FALSE,0.5375,0.743243243,0.6,3.119760323,0.218828783,0.781171217,0.653890777
Glassine Paper,31.22,14.14,71,200,92,98.72,Food,FALSE,0.8125,0.608108108,0.92,3.162075491,0.218873234,0.781126766,0.608589124
Corrugated Cardboard,34.3,13.85,92,46,94,101.87,Food,FALSE,0.170833333,0.891891892,0.94,2.969970759,0.218671434,0.781328566,0.858191376
Recycled Paper,40.08,16.36,61,89,63,76.73,Food,FALSE,0.35,0.472972973,0.63,1.91442111,0.217562617,0.782437383,0.626001238
Palm Leaf,14.66,11.96,79,93,66,36.84,Food,FALSE,0.366666667,0.716216216,0.66,2.512960265,0.218191361,0.781808639,0.700650358
Glassine Paper,26.29,14.16,90,33,89,102.87,Food,FALSE,0.116666667,0.864864865,0.89,3.912894488,0.219661942,0.780338058,0.853377307
Hemp Fiber,55.19,10.46,86,119,49,82.53,Food,FALSE,0.475,0.810810811,0.49,1.495379571,0.217122429,0.782877571,0.668212636
Starch Foam,29.15,9.82,100,113,65,52.8,Food,FALSE,0.45,1,0.65,1.811320693,0.217454314,0.782545686,0.763136422
Starch Foam,34.3,8,84,116,39,12.67,Food,FALSE,0.4625,0.783783784,0.39,0.369387744,0.215939615,0.784060385,0.643525231
PLA Bioplastic,41.9,20.09,81,62,42,97.35,Food,FALSE,0.2375,0.743243243,0.42,2.323388966,0.217992223,0.782007777,0.693099917
Kraft Paper,33.35,4.75,65,93,64,119.22,Food,FALSE,0.366666667,0.527027027,0.64,3.574812487,0.219306799,0.780693201,0.639614742
Kraft Paper,48.54,1.86,80,125,86,41.06,Food,FALSE,0.5,0.72972973,0.86,0.845900271,0.216440174,0.783559826,0.711808875
Palm Leaf,29.48,13.29,77,235,46,71.52,Food,FALSE,0.958333333,0.689189189,0.46,2.426051478,0.218100067,0.781899933,0.504648407
Cellulose Film,27.36,13.79,84,53,100,103.44,Food,FALSE,0.2,0.783783784,1,3.780701616,0.219523078,0.780476922,0.830254366
Kraft Paper,39.81,12.66,100,154,69,37.08,Food,FALSE,0.620833333,1,0.69,0.931424242,0.216530014,0.783469986,0.728659163
Bagasse (Sugarcane),7.17,9.16,100,27,61,84.43,Food,FALSE,0.091666667,1,0.61,11.77545164,0.227921278,0.772078722,0.842103014
Jute Fiber,58.83,8.81,91,107,81,96.39,Food,FALSE,0.425,0.878378378,0.81,1.638449743,0.217272719,0.782727281,0.764945334
Starch Foam,26.64,5.88,94,18,66,75.76,Food,FALSE,0.054166667,0.918918919,0.66,2.843843737,0.218538942,0.781461058,0.839499273
Bamboo Fiber,67.51,15.39,93,158,76,93.8,Food,FALSE,0.6375,0.905405405,0.76,1.389423768,0.217011126,0.782988874,0.70999384
Mushroom Packaging,41.74,10.42,82,118,65,60.74,Food,FALSE,0.470833333,0.756756757,0.65,1.455198815,0.217080221,0.782919779,0.685048639
Kraft Paper,32.23,19.16,95,31,69,144.16,Food,FALSE,0.108333333,0.932432432,0.69,4.472851242,0.220250157,0.779749843,0.835583857
