material_type,strength,weight_capacity,biodegradability_score,recyclability_percent,co2_emission_score,product_category,typical_weight,fragility_level,shape,material,recycling,weight,co2_impact_index,cost,cost_efficiency_index,material_suitability_score,final_sustainability_index
Cornstarch Polymer,67,10,92,93,20.52,Clothing,2.57,Low,bottle,glass,reuse,31.93,0.04646840148698885,35.04,0.02774694783573807,54.1,54.17421534932273
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,box,metal,reuse,29.68,0.03117206982543641,51.99,0.018871485185884128,40.7,40.750043555011324
Biodegradable Foam,45,26,44,65,32.73,Stationery,1.99,Low,bottle,glass,reuse,25.83,0.029647198339756896,43.72,0.022361359570661897,27.499999999999996,27.552008557910415
Paper Pulp Mold,55,10,51,55,14.2,Toys,1.57,High,can,glass,recycle,22.42,0.06578947368421052,41.49,0.023534949399858788,34.7,34.789324423084075
Bamboo Fiber,82,27,99,93,11.65,Home Decor,0.6,High,pouch,glass,recycle,23.88,0.07905138339920949,44.96,0.02175805047867711,54.9,55.00080943387788
PLA Bioplastic,46,11,55,42,15.36,Stationery,0.51,High,box,plastic,recycle,23.89,0.06112469437652812,36.73,0.0265041081367612,29.899999999999995,29.987628802513285
Cornstarch Polymer,67,10,92,93,20.52,Clothing,2.57,Low,can,paper,recycle,28.27,0.04646840148698885,38.29,0.025451768897938407,54.1,54.17192017038493
Recycled HDPE,54,6,43,54,29.56,Cosmetics,1.19,High,box,plastic,recycle,17.54,0.032722513089005235,38.66,0.02521432173474534,33.8,33.85793683482375
Bamboo Fiber,48,20,90,40,9.5,Clothing,2.37,Medium,box,paper,recycle,16.21,0.09523809523809523,40.94,0.023843586075345733,34.4,34.51908168131344
Mushroom Packaging,46,20,55,85,25.86,Stationery,1.84,Medium,can,glass,recycle,19.92,0.03723008190618019,36.01,0.027019724398811132,35.8,35.86424980630499
Wheat Straw Fiber,74,24,56,79,19.49,Electronics,0.11,High,bottle,glass,reuse,22.98,0.04880429477794046,43.96,0.02224199288256228,42,42.0710462876605
Biodegradable Foam,69,9,79,44,13.62,Home Decor,1.16,Medium,can,metal,reuse,18.73,0.06839945280437756,41.36,0.023607176581680833,42.599999999999994,42.69200662938605
Wheat Straw Fiber,59,12,54,99,22.02,Electronics,2.56,High,can,paper,compost,17.24,0.043440486533449174,31.83,0.03045994517209869,44.699999999999996,44.77390043170554
Recycled PET Blend,61,24,42,64,18.25,Cosmetics,0.48,Low,bottle,paper,reuse,27.19,0.05194805194805195,38.59,0.02525890376357666,32.3,32.37720695571163
Hemp Fiber,84,24,96,80,29.13,Industrial Parts,2.65,Medium,pouch,plastic,recycle,15.81,0.03318951211417192,43.94,0.022251891410769917,53.2,53.25544140352494
Palm Leaf Material,67,25,72,91,9.37,Beverages,1.43,Medium,can,paper,recycle,27.34,0.09643201542912247,38.65,0.025220680958385876,45.2,45.32165269638751
Palm Leaf Material,53,16,35,99,28.47,Clothing,2.11,Low,box,glass,compost,24.82,0.0339328130302002,28.91,0.03343363423604146,37.900000000000006,37.967366447266244
Biodegradable Foam,95,20,91,97,9.21,Healthcare,2.3,Low,can,metal,reuse,29.56,0.0979431929480901,45.96,0.02129471890971039,60.10000000000001,60.2192379118578
Eco-Foam Starch,65,21,47,84,13.57,Healthcare,0.35,High,can,plastic,reuse,30.92,0.06863417982155114,36.83,0.026434047052603753,39.400000000000006,39.49506822687416
Mushroom Packaging,49,11,71,53,14.68,Clothing,0.14,Medium,box,metal,compost,21.85,0.06377551020408163,31.83,0.03045994517209869,36.2,36.29423545537618
Recycled Cardboard,45,6,67,91,27.5,Electronics,1.48,Low,bottle,paper,recycle,30.39,0.03508771929824561,30.45,0.03179650238473768,43.3,43.36688422168298
Sugarcane Bagasse,47,19,40,87,9.7,Toys,2.31,Medium,pouch,paper,recycle,22.53,0.09345794392523366,31.49,0.030778701138811947,33.8,33.92423664506404
PLA Bioplastic,92,9,37,95,31.22,Cosmetics,1.43,Low,pouch,plastic,recycle,21.98,0.031036623215394167,41.42,0.023573785950023574,51.3,51.35461040916541
PLA Bioplastic,95,20,39,51,21.56,Healthcare,2.18,Low,box,paper,recycle,20.97,0.044326241134751775,51.18,0.019164430816404752,40.5,40.56349067195116
Paper Pulp Mold,55,5,45,78,30.91,Cosmetics,0.5,Medium,bottle,metal,compost,17.83,0.031338138514572234,29.86,0.03240440699935191,39.6,39.66374254551393
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,can,glass,reuse,23.8,0.03806623524933384,48.36,0.02025931928687196,42.1,42.158325554536205
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,can,plastic,recycle,25.75,0.03117206982543641,48.96,0.020016012810248198,40.7,40.751188082635686
Paper Pulp Mold,57,8,45,95,17.09,Home Decor,0.14,Medium,can,paper,reuse,13.01,0.055279159756771695,29.94,0.03232062055591467,42.699999999999996,42.78759978031268
Paper Pulp Mold,42,25,54,77,32.74,Healthcare,1.66,Low,can,metal,reuse,32.8,0.02963841138114997,36.17,0.026903416733925208,31.299999999999997,31.356541828115073
Jute Fiber,65,26,37,65,6.27,Beverages,0.4,Medium,can,glass,recycle,28.12,0.13755158184319122,44.25,0.022099447513812154,32.1,32.259651029357
Recycled Cardboard,85,9,89,40,24.53,Healthcare,1.19,Medium,box,paper,recycle,17.09,0.03916960438699569,47.65,0.020554984583761562,48.599999999999994,48.659724588970754
Coconut Coir,48,22,96,49,14.94,Cosmetics,0.19,Medium,can,plastic,recycle,22.81,0.06273525721455459,47.65,0.020554984583761562,36.800000000000004,36.88329024179832
Wheat Straw Fiber,59,12,54,99,22.02,Electronics,2.56,High,can,paper,reuse,19.78,0.043440486533449174,31.06,0.03119151590767311,44.699999999999996,44.774632002441116
Paper Pulp Mold,40,15,88,73,20.45,Clothing,1.55,Low,bottle,paper,compost,21.66,0.046620046620046623,28.77,0.03359086328518643,39.7,39.780210909905236
PLA Bioplastic,46,11,55,42,15.36,Stationery,0.51,High,can,paper,recycle,19.32,0.06112469437652812,39.9,0.02444987775061125,29.899999999999995,29.985574572127135
Mushroom Packaging,89,15,43,41,32.86,Cosmetics,2.39,Low,pouch,glass,reuse,22.62,0.029533372711163616,50.62,0.019372336303758234,39,39.048905709014925
Jute Fiber,81,8,70,80,14.85,Stationery,0.45,Low,box,glass,reuse,14.65,0.06309148264984227,39.41,0.024746349913387776,51.9,51.98783783256323
Recycled Cardboard,45,23,82,60,24.61,Fragile Goods,2.45,Medium,box,paper,recycle,30.95,0.03904724716907458,34.58,0.028105677346824058,35.00000000000001,35.0671529245159
Palm Leaf Material,57,27,90,42,7.08,Healthcare,1.77,Low,box,paper,compost,15.03,0.12376237623762376,43.92,0.02226179875333927,35.39999999999999,35.546024174990954
Recycled Paper,52,22,99,91,19.71,Baby Products,2.41,High,pouch,plastic,recycle,22.76,0.048285852245292124,35.96,0.027056277056277056,46.99999999999999,47.07534212930156
Biodegradable Foam,47,20,55,69,7.6,Toys,0.64,High,can,paper,recycle,16.61,0.11627906976744186,38.28,0.02545824847250509,32.900000000000006,33.04173731823995
Sugarcane Bagasse,47,22,77,87,29.73,Home Decor,2.15,High,box,metal,compost,19.22,0.03254149040026033,36.19,0.026888948642108095,40.300000000000004,40.35943043904238
Recycled PET Blend,61,22,39,48,28.49,Electronics,1.73,Low,pouch,metal,recycle,22.31,0.0339097999321804,47.2,0.02074688796680498,29.1,29.154656687898985
Bamboo Fiber,57,24,93,70,11.28,Clothing,0.45,High,bottle,plastic,recycle,20.49,0.08143322475570033,40.32,0.02420135527589545,42.5,42.60563458003159
Recycled HDPE,52,27,46,96,6.73,Toys,2.45,Low,can,glass,compost,20.65,0.129366106080207,31.14,0.031113876789047916,35.9,36.06047998286925
Recycled HDPE,93,22,92,46,7.7,Stationery,0.31,High,pouch,paper,reuse,18.16,0.1149425287356322,53.31,0.018412815319462345,48.9,49.033355344055096
Mushroom Packaging,87,28,89,70,19.97,Stationery,1.23,Low,can,plastic,reuse,16.54,0.047687172150691466,51.72,0.01896813353566009,49.5,49.566655305686346
Cornstarch Polymer,47,5,32,84,27.88,Home Decor,2.36,Medium,bottle,glass,reuse,23.32,0.03462603878116344,30.76,0.031486146095717885,35.8,35.866112184876876
Hemp Fiber,83,16,71,89,30.61,Food,2.22,Medium,pouch,plastic,reuse,15.73,0.03163555836760519,44.19,0.02212878955521133,52.10000000000001,52.153764347922824
Recycled HDPE,78,27,58,91,9.77,Healthcare,0.11,Medium,can,glass,reuse,16.75,0.09285051067780874,39.39,0.02475860361475613,45.1,45.217609114292564
Jute Fiber,43,19,63,71,7.23,Beverages,0.26,Medium,pouch,paper,recycle,16.81,0.12150668286755771,34.9,0.02785515320334262,34,34.149361836070895
Paper Pulp Mold,56,22,99,80,34.73,Home Decor,0.85,Medium,box,plastic,compost,18.34,0.0279876854184159,39.12,0.024925224327018946,46,46.05291290974544
Coconut Coir,46,20,98,86,32.17,Baby Products,0.88,Low,can,paper,reuse,12.9,0.03014772384684956,32.79,0.029594554601953243,44.599999999999994,44.6597422784488
Eco-Foam Starch,51,4,100,97,33.31,Industrial Parts,1.26,High,pouch,plastic,compost,12.98,0.029146021568055958,28.07,0.03439972480220158,53.5,53.56354574637025
Recycled Paper,57,28,34,44,28.53,Industrial Parts,0.29,Medium,box,glass,reuse,22.72,0.033863867253640365,53.25,0.018433179723502304,24.300000000000004,24.352297046977146
Paper Pulp Mold,65,12,55,94,19.64,Fragile Goods,1.2,Medium,bottle,plastic,recycle,22.77,0.04844961240310077,36.46,0.026695141484249865,45.699999999999996,45.775144753887346
Hemp Fiber,45,27,80,95,23.02,Industrial Parts,1.9,Low,can,metal,reuse,21.55,0.041631973355537054,32.78,0.02960331557134399,40.4,40.47123528892688
Coconut Coir,58,20,89,70,18.94,Home Decor,1.92,Medium,can,metal,reuse,26.88,0.05015045135406218,39.37,0.024770869457517962,43.2,43.274921320811586
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,bottle,plastic,compost,15.59,0.03117206982543641,53.4,0.01838235294117647,40.7,40.749554422766614
Bamboo Fiber,48,20,90,40,9.5,Clothing,2.37,Medium,box,metal,compost,11.37,0.09523809523809523,45.28,0.021607605877268798,34.4,34.516845701115365
Paper Pulp Mold,64,12,65,53,5.48,Baby Products,2.88,Low,bottle,paper,recycle,23.93,0.15432098765432098,38.71,0.025182573659027953,39.2,39.379503561313356
Paper Pulp Mold,57,8,45,95,17.09,Home Decor,0.14,Medium,can,metal,compost,11.27,0.055279159756771695,28.25,0.03418803418803419,42.699999999999996,42.7894671939448
Cassava Biopolymer,79,29,95,65,8.69,Cosmetics,1.25,High,pouch,metal,compost,19.32,0.10319917440660475,47.75,0.020512820512820513,47,47.123711994919425
Jute Fiber,53,29,95,89,21.87,Beverages,1.03,High,box,paper,compost,21.39,0.043725404459991256,36.2,0.026881720430107524,44,44.070607124890095
Recycled Paper,47,27,80,98,17.97,Cosmetics,1.83,Medium,box,paper,recycle,30.3,0.05271481286241434,37.23,0.026157467957101756,41.6,41.67887228081951
Coconut Coir,79,22,91,79,14.19,Food,0.54,High,box,glass,recycle,17.27,0.06583278472679395,49.39,0.019845207382417147,51.1,51.18567799210921
Sugarcane Bagasse,47,22,77,87,29.73,Home Decor,2.15,High,bottle,paper,recycle,17.63,0.03254149040026033,35.46,0.027427317608337904,40.300000000000004,40.3599688080086
Coconut Coir,66,18,52,64,20.43,Stationery,2.76,Medium,bottle,plastic,compost,23.31,0.04666355576294914,46.05,0.021253985122210415,37.6,37.667917540885156
Recycled PET Blend,88,15,47,51,28.77,Healthcare,1.3,High,pouch,metal,compost,23.01,0.03359086328518643,52.66,0.018635855385762207,41.5,41.552226718670944
Paper Pulp Mold,64,12,65,53,5.48,Baby Products,2.88,Low,pouch,glass,recycle,18.28,0.15432098765432098,38.21,0.02550369803621525,39.2,39.379824685690544
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,box,paper,compost,20.93,0.03806623524933384,49.11,0.019956096587507483,42.1,42.15802233183684
Wheat Straw Fiber,76,20,45,84,27.3,Food,0.39,Low,pouch,metal,compost,16.31,0.0353356890459364,48.34,0.020267531414673693,42.6,42.65560322046061
Recycled HDPE,46,20,49,68,19.31,Healthcare,2.03,Medium,bottle,plastic,reuse,22.23,0.049236829148202856,37.02,0.026301946344029457,31.200000000000003,31.275538775492237
Recycled Cardboard,42,26,61,100,27.25,Food,1.38,Low,pouch,plastic,recycle,12.03,0.035398230088495575,38.02,0.025627883136852894,37,37.06102611322535
Recycled HDPE,46,13,95,63,12.39,Clothing,0.71,High,bottle,glass,recycle,34.54,0.07468259895444361,26.08,0.03692762186115214,41.5,41.6116102208156
Paper Pulp Mold,82,19,64,95,18.84,Industrial Parts,2.09,Low,pouch,plastic,compost,23.61,0.05040322580645162,44.45,0.022002200220022,50.699999999999996,50.77240542602647
Recycled Paper,48,25,89,56,30.39,Industrial Parts,0.73,High,can,metal,compost,14.49,0.03185727938834024,44,0.022222222222222223,35.900000000000006,35.95407950161057
Jute Fiber,69,9,92,97,24.16,Beverages,0.95,High,bottle,paper,reuse,18.66,0.0397456279809221,32.32,0.030012004801920768,55.8,55.869757632782836
Palm Leaf Material,71,10,58,89,22.8,Beverages,1.45,Low,can,plastic,recycle,14.73,0.04201680672268907,36.06,0.02698327037236913,47.7,47.769000077095065
Recycled Cardboard,77,26,34,46,23.51,Toys,2.22,Medium,bottle,paper,recycle,15.91,0.04079967360261118,48.29,0.02028809089064719,31.3,31.36108776449326
Mushroom Packaging,87,28,89,70,19.97,Stationery,1.23,Low,pouch,metal,compost,21.06,0.047687172150691466,52.44,0.018712574850299403,49.5,49.566399747000986
