Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Synthetic Polymer,69.31,7.33,12.8,6.151,48.7,1.34,56.5,67.6,No,3,Dissolvable Pouches
Synthetic Polymer,52.59,5.74,78.1,0.0,86.2,0.01,44.0,85.1,Yes,8,Edible Wraps
Natural Fiber,189.88,8.24,42.6,1.919,70.2,2.21,68.8,23.0,No,3,Wraps
Paper-based,90.1,2.87,100.0,3.254,36.2,2.31,61.7,73.4,Yes,1,Bowls
Wood-based,131.34,9.62,30.0,6.997,31.4,0.01,84.0,84.6,No,7,Cutlery
Synthetic Polymer,23.9,7.32,100.0,6.33,58.8,0.01,42.7,-17.0,Yes,4,Cutlery
Bio-Composite,164.06,7.84,38.1,6.828,57.2,2.84,52.3,95.5,No,7,Plates
Natural Polymer,93.77,3.6,64.9,9.77,15.0,3.31,68.6,70.2,Yes,7,Produce Wraps
Biopolymer,84.97,9.46,0.0,8.582,45.7,2.4,99.3,-11.6,No,5,Cereal Boxes
Paper-based,142.69,6.37,10.1,9.006,67.3,0.27,58.8,67.9,No,10,Beverage Bottles
Bio-Composite,21.48,4.27,88.4,4.174,57.0,2.31,26.7,104.2,Yes,8,Cutlery
Biodegradable Polymer,38.13,0.1,57.7,1.726,100.0,0.86,29.5,98.8,Yes,1,Crates
Metal,5.88,6.86,19.6,5.536,35.5,2.51,36.6,60.3,No,1,Cutlery
Biodegradable Polymer,37.79,2.05,19.5,13.236,87.4,2.02,86.6,10.9,No,6,Cereal Boxes
Metal,118.93,5.71,100.0,1.914,76.1,2.52,100.0,22.4,Yes,7,Produce Wraps
Synthetic Polymer,118.8,5.57,38.7,2.482,47.3,3.86,72.9,58.0,No,7,Bakery Packaging
Metal,36.93,5.47,11.2,2.13,20.5,0.01,73.6,5.0,No,9,Edible Wraps
Natural Polymer,115.55,1.97,54.6,3.672,58.1,1.75,98.1,61.3,Yes,5,Cereal Boxes
Synthetic Polymer,36.56,7.06,34.0,4.975,50.1,0.9,75.3,37.8,No,1,Crates
Paper-based,84.51,2.82,79.5,1.811,86.3,1.75,41.2,41.7,Yes,3,Takeaway Boxes
Natural Fiber,14.76,0.1,22.2,7.752,91.7,4.59,70.5,22.8,No,10,Cutlery
Paper-based,15.3,3.76,33.1,7.993,47.1,2.8,100.0,40.8,No,2,Takeaway Boxes
Synthetic Polymer,1.0,6.56,63.2,4.4,67.3,1.87,87.2,88.1,Yes,8,Bakery Packaging
Bio-Composite,85.43,8.08,36.4,7.535,26.9,3.69,90.8,33.3,No,8,Bowls
Inorganic,162.51,1.46,64.0,7.95,1.6,1.24,38.9,71.1,Yes,9,Cereal Boxes
