ProductID,ProductName,ProductCategory,Weight_g,FragilityLevel,Dimensions_cm,MaterialType,SustainabilityScore,Material_Type_ID,Strength_mpa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,SuggestedEcoMaterial,CostPerPackage
PROD-0001,Smartwatch Model 960,Smartwatch,934.02,4,10x21x16,Composite,78.27,2,361.95,36.2,6.31,31.23,88.4,Molded Pulp,153.99
PROD-0002,Tablet Model 171,Tablet,2888.2,5,40x28x9,Aluminum,27.52,2,139.74,13.97,1.81,69.11,33.8,Bio-Polymer,245.64
PROD-0003,Headphones Model 120,Headphones,1630.12,1,33x18x3,Composite,48.73,1,314.46,31.45,3.54,53.17,57.62,Bio-Polymer,138.39
PROD-0004,Laptop Model 566,Laptop,1873.96,5,26x10x10,Aluminum,70.27,2,265.53,26.55,8.65,53.7,59.47,Molded Pulp,204.97
PROD-0005,Tablet Model 558,Tablet,2057.98,4,16x9x9,Composite,35.3,3,432.35,43.24,1.1,56.63,51.5,Bio-Polymer,215.17
PROD-0006,Headphones Model 199,Headphones,2016.86,1,48x5x11,Cardboard,16.16,4,250.94,25.09,1.69,88.28,15.65,Molded Pulp,151.2
PROD-0007,Tablet Model 761,Tablet,1557.36,1,15x31x6,Cardboard,76.54,1,72.59,7.26,4.27,21.66,99.1,Molded Pulp,110.76
PROD-0008,Headphones Model 869,Headphones,1314.85,4,17x14x18,Cardboard,50.33,1,12.44,1.24,9.99,85.89,17.26,Recycled PET,136.99
PROD-0009,Smartwatch Model 513,Smartwatch,208.66,4,40x20x8,Aluminum,59.6,1,342.16,34.22,3.63,40.48,75.15,Bio-Polymer,115.54
PROD-0010,Camera Model 485,Camera,115.15,4,36x29x13,Aluminum,57.14,4,279.46,27.95,2.42,39.95,79.14,Recycled PET,105.22
PROD-0011,Smartwatch Model 376,Smartwatch,1105.99,5,30x32x13,Plastic,32.49,1,172.17,17.22,5.94,87.04,14.52,Bio-Polymer,156.26
PROD-0012,Smartphone Model 559,Smartphone,1034.3,4,16x30x5,Aluminum,78.68,4,92.8,9.28,5.67,22.57,93.32,Molded Pulp,131.29
